,train_loss,train_acc,test_loss,test_acc
0,2.229851734409454,0.31303333333333333,2.1522713861647684,0.4835
1,2.0355079424406672,0.5335333333333333,1.8933549086759045,0.5478
2,1.7054216044543902,0.5797833333333333,1.5229199760279077,0.5978
3,1.3690663939600052,0.6238333333333334,1.2471201051572325,0.6348
4,1.1502126247516826,0.6478333333333334,1.0808816316780772,0.6487
5,1.0165586802623927,0.6635166666666666,0.9768804642045574,0.6613
6,0.9295491680407575,0.6763333333333333,0.9066842615984048,0.6716
7,0.8686932332353043,0.68745,0.8561215191889721,0.6801
8,0.8235192954031898,0.6989333333333333,0.8176050127311877,0.6917
9,0.78824375954264,0.7109666666666666,0.7868023867819719,0.7036
10,0.759442577356977,0.7237833333333333,0.7610994264198716,0.7192
11,0.7349821834612503,0.7350833333333333,0.7388625144958496,0.7302
12,0.713521317187657,0.7465,0.7190607970307588,0.7418
13,0.6942187613452168,0.7557666666666667,0.7010983528604933,0.7507
14,0.6766029808567022,0.7637333333333334,0.6846295467987182,0.7593
15,0.6603694861568113,0.7709833333333334,0.6694347903986645,0.7662
16,0.6453394052634107,0.77795,0.6553877440227824,0.7715
17,0.6314093170326147,0.7839666666666667,0.6424102980619782,0.7746
18,0.6184998282046714,0.7893166666666667,0.630440862695123,0.7798
19,0.6065392868160439,0.7937833333333333,0.6194011540549575,0.7853
20,0.5954644058558987,0.7978666666666666,0.6092349678088146,0.7878
21,0.5852246967904857,0.8015833333333333,0.5998777917995575,0.791
22,0.5757537331662452,0.8046833333333333,0.5912584449834885,0.793
23,0.5669883835290287,0.8072666666666667,0.5833094795798041,0.7955
24,0.5588696359761997,0.8106,0.5759713647851519,0.7985
25,0.5513426281813619,0.8130833333333334,0.5691915167744752,0.8007
26,0.5443569858953643,0.8149333333333333,0.5629180848218833,0.8029
27,0.5378711130192031,0.8170333333333333,0.5571040746512687,0.8053
28,0.5318428172167938,0.8188333333333333,0.5517049477358532,0.8072
29,0.5262312409974365,0.8208,0.5466911420700656,0.8084
30,0.520998079480647,0.8222166666666667,0.5420180152935586,0.8106
31,0.5161097397936433,0.8236666666666667,0.5376561737743912,0.8109
32,0.5115325879821899,0.8248,0.5335737030217602,0.8124
33,0.5072394203243733,0.8261166666666667,0.5297548930356457,0.8143
34,0.5032041057912525,0.8273333333333334,0.5261627904548767,0.8158
35,0.49940069474136906,0.8286666666666667,0.5227869631378514,0.8162
36,0.49580998420079886,0.8295,0.5196058727373742,0.8168
37,0.4924121377691785,0.8304,0.5165956439865622,0.8175
38,0.4891902433116553,0.8314333333333334,0.5137435670491237,0.8177
39,0.4861296595477346,0.8324333333333334,0.5110376668963462,0.8186
40,0.4832150494334286,0.83325,0.5084636909946515,0.8194
41,0.4804331171455414,0.8339833333333333,0.5060143353073461,0.8205
42,0.4777723279620793,0.8344333333333334,0.5036743042195678,0.8209
43,0.4752208568108107,0.8353666666666667,0.501434178489029,0.8217
44,0.4727742497378321,0.8363833333333334,0.49929536034347144,0.822
45,0.4704263670199207,0.8371833333333333,0.4972443041528106,0.8226
46,0.4681688065309006,0.8377333333333333,0.4952768531574565,0.8239
47,0.46599317593043293,0.83875,0.49338608847302234,0.8248
48,0.46389450056593556,0.83925,0.49156287768084533,0.8249
49,0.4618660457321067,0.83995,0.48980955257537256,0.8253
